visited_numb,person_id,time,gender,age
1,1644_34,2024-08-20 16:44:34.255752,male,52.17
2,1644_34_1,2024-08-20 16:44:34.255752,male,35.17
3,1644_34_2,2024-08-20 16:44:34.565511,male,35.17
4,1644_35,2024-08-20 16:44:35.154122,male,35.17
5,1644_37,2024-08-20 16:44:37.663298,male,21.84
6,1644_41,2024-08-20 16:44:41.393421,male,35.4
7,1644_44,2024-08-20 16:44:44.380756,male,35.18
8,1644_44_1,2024-08-20 16:44:44.615414,male,35.18
9,1644_50,2024-08-20 16:44:49.926443,male,35.17
10,1645_00,2024-08-20 16:45:00.799777,male,35.17
11,1645_02,2024-08-20 16:45:02.735972,male,35.17
12,1645_03,2024-08-20 16:45:03.527664,male,35.17
13,1645_09,2024-08-20 16:45:09.139561,male,35.17
14,1645_11,2024-08-20 16:45:11.088016,male,35.17
15,1645_17,2024-08-20 16:45:17.405253,male,35.17
16,1645_19,2024-08-20 16:45:19.274962,female,32.96
17,1645_20,2024-08-20 16:45:19.980037,male,35.17
18,1645_21,2024-08-20 16:45:21.292159,male,34.94
19,1645_22,2024-08-20 16:45:22.430980,male,33.17
20,1645_39,2024-08-20 16:45:39.673382,male,35.17
21,1645_48,2024-08-20 16:45:48.145299,male,32.92
22,1645_54,2024-08-20 16:45:54.181354,male,35.17
23,1645_56,2024-08-20 16:45:56.275743,male,35.17
24,1645_58,2024-08-20 16:45:58.432282,male,35.17
25,1645_59,2024-08-20 16:45:58.909750,female,32.9
26,1646_08,2024-08-20 16:46:08.608157,male,35.17
27,1646_14,2024-08-20 16:46:13.955817,male,35.17
28,1646_47,2024-08-20 16:46:46.659665,male,35.17
29,1646_49,2024-08-20 16:46:49.532404,male,35.17
30,1646_52,2024-08-20 16:46:52.518024,female,31.65
31,1647_14,2024-08-20 16:47:14.616859,female,20.46
32,1647_17,2024-08-20 16:47:16.982856,male,30.95
33,1647_20,2024-08-20 16:47:20.108395,male,35.06
34,1647_40,2024-08-20 16:47:39.917436,male,34.79
35,1647_41,2024-08-20 16:47:41.470730,male,35.73
36,1647_48,2024-08-20 16:47:48.334043,male,42.67
